date,open,high,low,close,volume,RSI,SMA,upper,lower,EMA,MACD,signal,histogram
2024-09-26 00:00:00,2579.84,2588.15,2558.84,2570.92,1446.437,36.1275,2601.6235,2645.4546,2557.7924,2582.3818,-13.9708,-10.2146,-3.7562
2024-09-28 00:00:00,2695.37,2701.26,2690.81,2697.2,1534.965,70.2592,2605.2615,2665.1871,2545.3359,2605.3455,-4.1519,-9.002,4.8501
2024-09-28 01:00:00,2697.0,2699.33,2692.01,2698.17,718.2987,70.3901,2609.277,2681.5351,2537.0189,2623.9104,3.6657,-6.4685,10.1342
2024-09-28 02:00:00,2698.36,2705.26,2688.4,2700.99,1757.5213,70.7926,2613.251,2695.7761,2530.7259,2639.3263,9.9737,-3.1801,13.1538
2024-09-28 03:00:00,2700.99,2703.93,2688.49,2691.0,1367.037,67.3028,2616.532,2705.6773,2527.3867,2649.661,14.0053,0.257,13.7483
2024-09-28 04:00:00,2691.0,2700.75,2687.85,2693.27,1155.1076,67.6925,2620.14,2715.368,2524.912,2658.3828,17.1855,3.6427,13.5428
2024-09-28 05:00:00,2693.52,2695.3,2683.01,2683.65,1375.0286,64.2001,2623.1905,2722.3702,2524.0108,2663.4363,18.7138,6.6569,12.0569
2024-09-28 06:00:00,2683.77,2687.64,2675.2,2679.81,1027.254,62.8072,2625.8325,2728.043,2523.622,2666.711,19.3916,9.2039,10.1878
2024-09-28 07:00:00,2679.75,2684.53,2675.0,2678.4,626.2668,62.2729,2628.8875,2733.519,2524.256,2669.0488,19.5892,11.2809,8.3083
2024-09-28 08:00:00,2678.55,2679.03,2665.11,2666.68,718.3546,57.8665,2631.3475,2737.098,2525.597,2668.575,18.5859,12.7419,5.8439
2024-09-28 09:00:00,2666.54,2671.53,2650.16,2670.06,830.3519,58.7725,2633.527,2740.5744,2526.4796,2668.872,17.8576,13.7651,4.0925
2024-09-28 10:00:00,2670.09,2677.33,2667.32,2676.0,593.1387,60.3848,2637.282,2744.7559,2529.8081,2670.2976,17.5573,14.5235,3.0338
