date,open,high,low,close,volume
2024-09-16 05:00:00,2281.24,2295.53,2280.7,2293.04,2917.3032
2024-09-16 06:00:00,2293.15,2300.69,2289.45,2291.19,1935.8424
2024-09-16 07:00:00,2291.21,2312.6,2289.41,2310.63,1862.7565
2024-09-16 08:00:00,2310.08,2335.18,2307.39,2315.31,2480.9363
2024-09-16 09:00:00,2315.3,2319.68,2287.5,2291.24,2800.9098
2024-09-16 10:00:00,2291.2,2305.58,2289.05,2303.36,2420.4663
2024-09-16 11:00:00,2303.35,2309.29,2299,2307.66,864.791
2024-09-16 12:00:00,2307.45,2312.36,2293.28,2301.51,2320.0065
2024-09-16 13:00:00,2301.49,2306.8,2280.54,2302.83,4028.619
2024-09-16 14:00:00,2302.83,2305.57,2268.59,2277.79,6178.9063
2024-09-16 15:00:00,2277.89,2296.59,2276.33,2287.13,2642.1302
2024-09-16 16:00:00,2287.13,2295.77,2283.84,2287.15,3278.6384
2024-09-16 17:00:00,2287.23,2310.76,2268.6,2305.37,9013.9191
2024-09-16 18:00:00,2305.14,2305.87,2281.03,2289.31,3562.9513
2024-09-16 19:00:00,2289.11,2292.07,2271.16,2274.99,4347.1458
2024-09-16 20:00:00,2274.91,2288.25,2267.43,2274.15,3814.8525
2024-09-16 21:00:00,2273.81,2290.54,2270.28,2290.48,1556.7981
2024-09-16 22:00:00,2290.54,2291.27,2281.47,2283.89,1530.1348
2024-09-16 23:00:00,2283.92,2301.26,2283.92,2295.21,2035.1376
2024-09-17 00:00:00,2295.35,2298.57,2272.8,2272.91,2601.3405
2024-09-17 01:00:00,2272.64,2281.3,2263.05,2275.15,3424.1917
2024-09-17 02:00:00,2275.13,2289,2274.08,2286.77,2492.3753
2024-09-17 02:00:00,2275.13,2289,2274.08,2286.77,2492.3753
2024-09-17 03:00:00,2286.61,2288.52,2281.76,2283.88,1067.6743
2024-09-17 04:00:00,2284,2290.75,2281.98,2288.77,1447.0211
2024-09-17 05:00:00,2288.85,2306.23,2287.72,2301.66,1203.4615
2024-09-17 06:00:00,2301.86,2304.71,2296.37,2299.52,875.7706
2024-09-17 07:00:00,2299.29,2310.84,2295.71,2309.21,984.3276
2024-09-17 08:00:00,2309.19,2316.41,2306.01,2309.65,1782.2935
2024-09-17 09:00:00,2309.38,2320.31,2302.34,2313.65,2032.2234
2024-09-17 10:00:00,2313.87,2318.57,2307.01,2317.52,2098.961
2024-09-17 11:00:00,2316.92,2323.79,2306.54,2308.19,1597.923
2024-09-17 12:00:00,2308.26,2321.58,2306.78,2318.55,1515.7218
2024-09-17 13:00:00,2318.59,2329.44,2302.36,2307.31,5134.036
2024-09-17 14:00:00,2306.8,2365,2306.1,2346.54,19139.8058
2024-09-17 15:00:00,2346.69,2394,2346.19,2384.21,12114.7424
2024-09-17 16:00:00,2384.21,2390.53,2361.87,2368.93,4706.3419
2024-09-17 17:00:00,2368.75,2376.94,2361.97,2367.56,3671.7989
2024-09-17 18:00:00,2367.28,2371.17,2339.53,2350.19,4192.26
2024-09-17 19:00:00,2349.97,2359.34,2328.04,2353.29,6220.9662
2024-09-17 20:00:00,2353.06,2362.09,2343.34,2344.3,4727.8243
2024-09-17 21:00:00,2344.3,2352.28,2344.3,2348.13,1084.5686
2024-09-17 22:00:00,2348.2,2348.33,2334.77,2337.92,1759.8129
2024-09-17 23:00:00,2337.71,2342.82,2329.05,2342.1,1130.8408
2024-09-18 00:00:00,2342.09,2342.19,2309.1,2324.34,2376.8456
2024-09-18 01:00:00,2324.05,2332.02,2313.79,2325.46,1460.4675
2024-09-18 02:00:00,2325.18,2334.69,2323.48,2331.7,1510.0818
2024-09-18 02:00:00,2325.18,2334.69,2323.48,2331.7,1510.0818
2024-09-18 03:00:00,2331.7,2342.55,2331.03,2334.88,1421.6738
2024-09-18 04:00:00,2334.85,2336.3,2318.49,2323.89,1213.6392
2024-09-18 05:00:00,2323.88,2323.88,2312.19,2321.24,1729.2273
2024-09-18 06:00:00,2321.4,2330.2,2319.76,2329.32,1216.4941
2024-09-18 07:00:00,2329.31,2334.92,2327.85,2330.29,795.2775
2024-09-18 08:00:00,2330.3,2330.3,2317.61,2321.1,2360.3689
2024-09-18 09:00:00,2321.01,2321.29,2293.41,2295.76,5078.8976
